mach,extension,drag
0.3,0.0,21.3504128
0.3,0.005086,22.0595048
0.3,0.010172,24.9088716
0.3,0.015258,27.9864184
0.3,0.020344,31.1026324
0.3,0.02543,34.4154968
0.35,0.0,28.4764288
0.35,0.005086,29.4968188
0.35,0.010172,33.442484
0.35,0.015258,37.7072924
0.35,0.020344,42.431004
0.35,0.02543,49.268968
0.4,0.0,36.5797444
0.4,0.005086,37.9425576
0.4,0.010172,43.181036
0.4,0.015258,48.228044
0.4,0.020344,54.337208
0.4,0.02543,63.177396
0.45,0.0,45.626064
0.45,0.005086,47.465936
0.45,0.010172,54.248124
0.45,0.015258,61.153508
0.45,0.020344,68.123176
0.45,0.02543,78.544968
0.5,0.0,55.608328
0.5,0.005086,58.031028
0.5,0.010172,66.47724
0.5,0.015258,75.0606
0.5,0.020344,83.772648
0.5,0.02543,99.321344
0.55,0.0,66.491156
0.55,0.005086,69.620664
0.55,0.010172,79.97704
0.55,0.015258,90.395844
0.55,0.020344,101.067112
0.55,0.02543,118.531744
0.6,0.0,78.3694
0.6,0.005086,82.318212
0.6,0.010172,94.992516
0.6,0.015258,107.6595
0.6,0.020344,121.253364
0.6,0.02543,138.66022
0.65,0.0,91.236292
0.65,0.005086,96.208516
0.65,0.010172,110.87602
0.65,0.015258,125.462168
0.65,0.020344,140.80704
0.65,0.02543,161.66664
0.7,0.0,105.077064
0.7,0.005086,111.278992
0.7,0.010172,128.460616
0.7,0.015258,145.479024
0.7,0.020344,163.393596
0.7,0.02543,187.620416
0.75,0.0,120.002104
0.75,0.005086,127.73162
0.75,0.010172,147.55026
0.75,0.015258,167.284664
0.75,0.020344,188.296204
0.75,0.02543,214.407168
0.8,0.0,136.170704
0.8,0.005086,145.79854
0.8,0.010172,168.37428
0.8,0.015258,191.195876
0.8,0.020344,215.806092
0.8,0.02543,248.851684
